Sprint #,Application_Name,Team_Name,AI Usage Testing Phase (Test Planning),AI Usage Testing Phase (Test Design),AI Usage Testing Phase (Automation Development),AI Usage Testing Phase (Test Execution),AI Usage Testing Phase (Regression Testing),AI Usage Testing Phase (Defect Management),Complexity,User story count,test case count,Baseline effort (Test Planning),Baseline effort (Test Design),Baseline effort (Automation Development),Baseline effort (Test Execution),Baseline effort (Regression Testing),Baseline effort (Defect Management),Actual effort (Test Planning),Actual effort (Test Design),Actual effort (Automation Development),Actual effort (Test Execution),Actual effort (Regression Testing),Actual effort (Defect Management),Year,Sprint_Number,AI_Test Planning,AI_Test Design,AI_Automation Development,AI_Test Execution,AI_Regression Testing,AI_Defect Management,AI_Phase_Count,AI_Adoption_Rate,Total_Baseline_Effort,Total_Actual_Effort,Total_Effort_Saved,Overall_Productivity_Improvement_Pct,Story_to_Test_Ratio
2023-S01,Legacy Service Platform,Legacy Support QA,No,No,No,No,No,No,High,11.0,13.0,14.5,7.51,11.0,3.21,6.6,6.06,11.56,8.7,10.47,3.17,7.12,6.57,2023,1,0,0,0,0,0,0,0,0.0,48.88,47.589999999999996,1.2900000000000063,2.6391162029460027,1.0833333333333333
2023-S01,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,High,10.0,86.0,14.0,45.82,38.01,16.0,37.97,28.24,16.0,47.31,38.33,17.04,35.6,26.79,2023,1,0,0,0,0,0,0,0,0.0,180.04000000000002,181.07,-1.0299999999999727,-0.5720950899799893,7.818181818181818
2023-S01,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,9.0,75.0,10.78,32.32,46.89,11.43,15.2,14.3,10.02,32.08,43.44,12.92,15.57,15.2,2023,1,0,0,0,0,0,0,0,0.0,130.92000000000002,129.23,1.6900000000000261,1.2908646501680614,7.5
2023-S01,Customer Web Portal,EIP-QA,No,No,No,No,No,No,Low,12.0,57.0,10.92,20.8,33.87,8.16,17.29,12.1,10.37,25.6,40.97,7.21,18.49,11.64,2023,1,0,0,0,0,0,0,0,0.0,103.13999999999999,114.27999999999999,-11.14,-10.800853209230175,4.384615384615385
2023-S01,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,9.0,78.0,10.7,33.67,52.17,12.37,19.07,21.0,10.29,35.65,49.18,14.0,19.57,22.0,2023,1,0,0,0,0,0,0,0,0.0,148.98000000000002,150.69,-1.7099999999999795,-1.1478050745066313,7.8
2023-S02,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Low,7.0,122.0,7.29,44.94,39.13,15.57,,17.49,7.47,53.82,43.85,17.0,25.0,21.25,2023,2,0,0,0,0,0,0,0,0.0,,168.39,,,15.25
2023-S02,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,High,11.0,44.0,15.37,23.91,17.91,8.72,16.65,11.0444,13.1,25.53,16.06,9.22,18.5,12.0,2023,2,0,0,0,0,0,0,0,0.0,93.6044,94.41,-0.8055999999999983,-0.8606433030925879,3.6666666666666665
2023-S02,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,4.0,43.0,6.27,18.82,23.52,6.94,12.5,9.26,5.79,19.31,23.77,7.5,13.47,8.79,2023,2,0,0,0,0,0,0,0,0.0,77.31,78.63,-1.3199999999999932,-1.707411719053154,8.6
2023-S02,Mobile Service App,Mobile & Web QE,No,No,No,No,No,No,Low,6.0,71.0,7.79,24.9,49.1,10.34,23.75,16.2,7.5,31.18,51.71,10.1,23.4,15.1031,2023,2,0,0,0,0,0,0,0,0.0,132.07999999999998,138.9931,-6.913100000000014,-5.234024833434294,10.142857142857142
2023-S02,Customer Web Portal,EIP-QA,No,No,No,No,No,No,High,3.0,86.0,5.57,45.0,56.0,15.67,35.81,25.8,5.23,50.62,60.44,17.0,38.57,30.33,2023,2,0,0,0,0,0,0,0,0.0,183.85000000000002,202.19,-18.339999999999975,-9.975523524612441,21.5
