Row_ID,Sprint #,Year,Sprint_Number,Application_Name,Team_Name,Complexity,User story count,test case count,QE_Phase,AI_Used,Baseline_Effort,Actual_Effort,AI_Used_Flag,Effort_Saved,Productivity_Improvement_Pct,Actual_to_Baseline_Ratio,Story_to_Test_Ratio,Baseline_Effort_per_Story
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Test Planning,No,14.5,11.56,0,2.9399999999999995,20.275862068965512,0.7972413793103449,1.0833333333333333,1.2083333333333333
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Test Design,No,7.51,8.7,0,-1.1899999999999995,-15.845539280958715,1.158455392809587,1.0833333333333333,0.6258333333333334
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Automation Development,No,11.0,10.47,0,0.5299999999999994,4.818181818181812,0.9518181818181819,1.0833333333333333,0.9166666666666666
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Test Execution,No,3.21,3.17,0,0.040000000000000036,1.2461059190031165,0.9875389408099688,1.0833333333333333,0.2675
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Regression Testing,No,6.6,7.12,0,-0.5200000000000005,-7.878787878787887,1.0787878787878789,1.0833333333333333,0.5499999999999999
0,2023-S01,2023,1,Legacy Service Platform,Legacy Support QA,High,11.0,13.0,Defect Management,No,6.06,6.57,0,-0.5100000000000007,-8.415841584158427,1.0841584158415842,1.0833333333333333,0.505
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Test Planning,No,14.0,16.0,0,-2.0,-14.285714285714285,1.1428571428571428,7.818181818181818,1.2727272727272727
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Test Design,No,45.82,47.31,0,-1.490000000000002,-3.2518550851156744,1.0325185508511567,7.818181818181818,4.165454545454545
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Automation Development,No,38.01,38.33,0,-0.3200000000000003,-0.8418837148118924,1.0084188371481189,7.818181818181818,3.455454545454545
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Test Execution,No,16.0,17.04,0,-1.0399999999999991,-6.499999999999995,1.065,7.818181818181818,1.4545454545454546
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Regression Testing,No,37.97,35.6,0,2.3699999999999974,6.2417698182775805,0.9375823018172242,7.818181818181818,3.4518181818181817
1,2023-S01,2023,1,CRM Sales & Service,CRM Platform QA,High,10.0,86.0,Defect Management,No,28.24,26.79,0,1.4499999999999993,5.134560906515579,0.9486543909348442,7.818181818181818,2.567272727272727
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Test Planning,No,10.78,10.02,0,0.7599999999999998,7.050092764378476,0.9294990723562152,7.5,1.0779999999999998
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Test Design,No,32.32,32.08,0,0.240000000000002,0.7425742574257487,0.9925742574257426,7.5,3.232
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Automation Development,No,46.89,43.44,0,3.450000000000003,7.357645553422911,0.9264235444657709,7.5,4.689
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Test Execution,No,11.43,12.92,0,-1.4900000000000002,-13.03587051618548,1.1303587051618549,7.5,1.143
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Regression Testing,No,15.2,15.57,0,-0.370000000000001,-2.434210526315796,1.024342105263158,7.5,1.52
2,2023-S01,2023,1,Billing & Payments,Billing & Payments QA,Medium,9.0,75.0,Defect Management,No,14.3,15.2,0,-0.8999999999999986,-6.2937062937062835,1.062937062937063,7.5,1.4300000000000002
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Test Planning,No,10.92,10.37,0,0.5500000000000007,5.036630036630043,0.9496336996336996,4.384615384615385,0.84
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Test Design,No,20.8,25.6,0,-4.800000000000001,-23.076923076923077,1.2307692307692308,4.384615384615385,1.6
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Automation Development,No,33.87,40.97,0,-7.100000000000001,-20.96250369058164,1.2096250369058164,4.384615384615385,2.605384615384615
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Test Execution,No,8.16,7.21,0,0.9500000000000002,11.6421568627451,0.883578431372549,4.384615384615385,0.6276923076923077
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Regression Testing,No,17.29,18.49,0,-1.1999999999999993,-6.9404279930595685,1.0694042799305956,4.384615384615385,1.3299999999999998
3,2023-S01,2023,1,Customer Web Portal,EIP-QA,Low,12.0,57.0,Defect Management,No,12.1,11.64,0,0.4599999999999991,3.801652892561976,0.9619834710743802,4.384615384615385,0.9307692307692308
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Test Planning,No,10.7,10.29,0,0.41000000000000014,3.831775700934581,0.9616822429906542,7.8,1.0699999999999998
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Test Design,No,33.67,35.65,0,-1.9799999999999969,-5.880605880605871,1.0588060588060586,7.8,3.367
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Automation Development,No,52.17,49.18,0,2.990000000000002,5.731263178071693,0.9426873682192831,7.8,5.2170000000000005
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Test Execution,No,12.37,14.0,0,-1.6300000000000008,-13.177041228779313,1.1317704122877932,7.8,1.2369999999999999
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Regression Testing,No,19.07,19.57,0,-0.5,-2.6219192448872572,1.0262191924488726,7.8,1.907
4,2023-S01,2023,1,ERP Operations,ERP Operations QA,Medium,9.0,78.0,Defect Management,No,21.0,22.0,0,-1.0,-4.761904761904762,1.0476190476190477,7.8,2.1
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Test Planning,No,7.29,7.47,0,-0.17999999999999972,-2.4691358024691317,1.0246913580246912,15.25,0.91125
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Test Design,No,44.94,53.82,0,-8.880000000000003,-19.75967957276369,1.197596795727637,15.25,5.6175
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Automation Development,No,39.13,43.85,0,-4.719999999999999,-12.062356248402756,1.1206235624840275,15.25,4.89125
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Test Execution,No,15.57,17.0,0,-1.4299999999999997,-9.184328837508026,1.0918432883750802,15.25,1.94625
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Regression Testing,No,,25.0,0,,,,15.25,
5,2023-S02,2023,2,Billing & Payments,Billing & Payments QA,Low,7.0,122.0,Defect Management,No,17.49,21.25,0,-3.7600000000000016,-21.497998856489435,1.2149799885648944,15.25,2.18625
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Test Planning,No,15.37,13.1,0,2.2699999999999996,14.769030579050096,0.8523096942094991,3.6666666666666665,1.2808333333333333
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Test Design,No,23.91,25.53,0,-1.620000000000001,-6.775407779171899,1.067754077791719,3.6666666666666665,1.9925
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Automation Development,No,17.91,16.06,0,1.8500000000000014,10.329424902289231,0.8967057509771077,3.6666666666666665,1.4925
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Test Execution,No,8.72,9.22,0,-0.5,-5.73394495412844,1.0573394495412844,3.6666666666666665,0.7266666666666667
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Regression Testing,No,16.65,18.5,0,-1.8500000000000014,-11.11111111111112,1.1111111111111112,3.6666666666666665,1.3875
6,2023-S02,2023,2,CRM Sales & Service,CRM Platform QA,High,11.0,44.0,Defect Management,No,11.0444,12.0,0,-0.9556000000000004,-8.652348701604437,1.0865234870160443,3.6666666666666665,0.9203666666666667
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Test Planning,No,6.27,5.79,0,0.47999999999999954,7.6555023923444905,0.9234449760765551,8.6,1.254
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Test Design,No,18.82,19.31,0,-0.48999999999999844,-2.603613177470767,1.0260361317747078,8.6,3.7640000000000002
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Automation Development,No,23.52,23.77,0,-0.25,-1.0629251700680271,1.0106292517006803,8.6,4.704
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Test Execution,No,6.94,7.5,0,-0.5599999999999996,-8.069164265129677,1.0806916426512967,8.6,1.3880000000000001
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Regression Testing,No,12.5,13.47,0,-0.9700000000000006,-7.760000000000006,1.0776000000000001,8.6,2.5
7,2023-S02,2023,2,ERP Operations,ERP Operations QA,Medium,4.0,43.0,Defect Management,No,9.26,8.79,0,0.47000000000000064,5.075593952483808,0.949244060475162,8.6,1.8519999999999999
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Test Planning,No,7.79,7.5,0,0.29000000000000004,3.7227214377406934,0.962772785622593,10.142857142857142,1.1128571428571428
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Test Design,No,24.9,31.18,0,-6.280000000000001,-25.22088353413655,1.2522088353413656,10.142857142857142,3.557142857142857
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Automation Development,No,49.1,51.71,0,-2.6099999999999994,-5.315682281059061,1.0531568228105905,10.142857142857142,7.014285714285714
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Test Execution,No,10.34,10.1,0,0.2400000000000002,2.321083172147004,0.9767891682785299,10.142857142857142,1.477142857142857
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Regression Testing,No,23.75,23.4,0,0.3500000000000014,1.473684210526322,0.9852631578947367,10.142857142857142,3.392857142857143
8,2023-S02,2023,2,Mobile Service App,Mobile & Web QE,Low,6.0,71.0,Defect Management,No,16.2,15.1031,0,1.0968999999999998,6.770987654320987,0.9322901234567902,10.142857142857142,2.314285714285714
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Test Planning,No,5.57,5.23,0,0.33999999999999986,6.104129263913821,0.9389587073608617,21.5,1.3925
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Test Design,No,45.0,50.62,0,-5.619999999999997,-12.488888888888884,1.1248888888888888,21.5,11.25
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Automation Development,No,56.0,60.44,0,-4.439999999999998,-7.928571428571425,1.0792857142857142,21.5,14.0
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Test Execution,No,15.67,17.0,0,-1.33,-8.487555839183154,1.0848755583918315,21.5,3.9175
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Regression Testing,No,35.81,38.57,0,-2.759999999999998,-7.707344317229818,1.0770734431722981,21.5,8.9525
9,2023-S02,2023,2,Customer Web Portal,EIP-QA,High,3.0,86.0,Defect Management,No,25.8,30.33,0,-4.529999999999998,-17.55813953488371,1.1755813953488372,21.5,6.45
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Test Planning,No,9.2,11.1417,0,-1.9417000000000009,-21.105434782608707,1.2110543478260871,4.818181818181818,0.8363636363636363
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Test Design,No,19.16,20.62,0,-1.4600000000000009,-7.620041753653449,1.0762004175365345,4.818181818181818,1.741818181818182
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Automation Development,No,23.56,24.0,0,-0.4400000000000013,-1.8675721561969494,1.0186757215619695,4.818181818181818,2.1418181818181816
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Test Execution,No,7.38,7.98,0,-0.6000000000000005,-8.130081300813014,1.08130081300813,4.818181818181818,0.6709090909090909
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Regression Testing,No,16.85,17.433,0,-0.5829999999999984,-3.459940652818981,1.0345994065281898,4.818181818181818,1.531818181818182
10,2023-S02,2023,2,API Integration Platform,API & Middleware QA,Medium,10.0,53.0,Defect Management,No,12.0,13.7,0,-1.6999999999999993,-14.16666666666666,1.1416666666666666,4.818181818181818,1.0909090909090908
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Test Planning,No,9.0,8.62,0,0.3800000000000008,4.22222222222223,0.9577777777777777,8.166666666666666,1.5
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Test Design,No,27.72,26.2712,0,1.4487999999999985,5.226551226551222,0.9477344877344878,8.166666666666666,4.62
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Automation Development,No,37.2,43.5,0,-6.299999999999997,-16.935483870967733,1.1693548387096773,8.166666666666666,6.2
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Test Execution,No,9.56,15.38,0,-5.82,-60.87866108786611,1.608786610878661,8.166666666666666,1.5933333333333335
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Regression Testing,No,18.91,22.14,0,-3.2300000000000004,-17.080909571655212,1.170809095716552,8.166666666666666,3.151666666666667
11,2023-S03,2023,3,Customer Web Portal,EIP-QA,High,5.0,49.0,Defect Management,No,11.0,11.42,0,-0.41999999999999993,-3.818181818181818,1.038181818181818,8.166666666666666,1.8333333333333333
12,2023-S03,2023,3,Billing & Payments,Billing & Payments QA,Medium,12.0,66.0,Test Planning,No,15.61,14.04,0,1.5700000000000003,10.057655349135173,0.8994234465086482,5.076923076923077,1.2007692307692308
12,2023-S03,2023,3,Billing & Payments,Billing & Payments QA,Medium,12.0,66.0,Test Design,No,39.9,34.35,0,5.549999999999997,13.909774436090219,0.8609022556390978,5.076923076923077,3.069230769230769
12,2023-S03,2023,3,Billing & Payments,Billing & Payments QA,Medium,12.0,66.0,Automation Development,No,41.8,42.17,0,-0.37000000000000455,-0.8851674641148435,1.0088516746411484,5.076923076923077,3.215384615384615
12,2023-S03,2023,3,Billing & Payments,Billing & Payments QA,Medium,12.0,66.0,Test Execution,No,14.19,11.54,0,2.6500000000000004,18.67512332628612,0.8132487667371388,5.076923076923077,1.0915384615384616
