Feature,Importance_Mean_Across_Splits,Importance_SD_Across_Splits,Positive_Importance_Rate,Median_Importance
AI_Phase_Count,0.269102831158231,0.04117385321118798,1.0,0.28089146048273606
AI_Exposure_Regression Testing,0.021262137657936542,0.026345060264846426,0.8,0.03370471214518259
AI_Exposure_Test Design,0.016731678196358034,0.020502694593506697,1.0,0.009163705253610136
Baseline_Share_Test Execution,0.013931557903394398,0.01045899759835795,1.0,0.012506341275708191
AI_Exposure_Test Planning,0.00934265798393507,0.006160772220108018,1.0,0.005802994220479696
AI_Exposure_Defect Management,0.006545792443496445,0.0059356319266172484,0.8,0.009690777852823684
Sprint_Number,0.0065162931758909375,0.007694471012284712,1.0,0.0037755303749898625
Baseline effort (Test Execution),0.004458867625970098,0.009401488722569257,0.8,0.0015567096673081426
Application_Name,0.003063198018786517,0.0035214524287652043,0.6,0.0033656528088074436
AI_Defect Management,0.002724304274384459,0.0028234655231319243,0.8,0.0023552263777425475
Baseline effort (Test Planning),0.0026589032544188504,0.007626479461236551,0.8,0.0018090823032174501
AI_Exposure_Automation Development,0.002148589692475918,0.008666684932948955,0.6,0.003196029508227468
AI_Test Planning,0.0017989265142780801,0.0007111005160024493,1.0,0.0018760458462118896
Baseline effort (Defect Management),0.0016004979348802483,0.004782047477109222,0.6,0.003345837560505068
User story count,0.0011287850480157901,0.001660124975102935,0.8,0.0015486183962623394
Total_Baseline_Effort,0.000727490867760753,0.007532402861366399,0.6,0.0006479619984061102
AI_Exposure_Test Execution,0.0006147815609835867,0.0014642149460643373,0.6,3.8242840110151256e-05
Baseline_Share_Test Design,0.0004976787104533345,0.002859474604673645,0.6,0.0020486801796603484
AI_Test Execution,5.450222816377377e-05,0.000196679585804451,0.8,6.9273881019886e-05
AI_Test Design,-4.1665389116148525e-05,0.0013822485216766756,0.8,0.00023693012720145865
Baseline effort (Regression Testing),-0.00017010822282619297,0.004168807425048441,0.4,-0.00015211111885116146
Baseline_Share_Automation Development,-0.0003952943175133134,0.006539769509766905,0.6,0.0016119074680008099
Baseline_Share_Defect Management,-0.0007963019933239001,0.0036649283369778137,0.4,-0.001010226028723397
Baseline_Share_Test Planning,-0.0008724813285790667,0.002072340138544195,0.4,-0.0019837801417096714
AI_Regression Testing,-0.0010048063223845622,0.0016089096316534242,0.2,-0.00041332257775013775
Baseline effort (Test Design),-0.001668859269746692,0.0035791214635847676,0.2,-0.002873279276208951
Baseline effort (Automation Development),-0.0018031800550744417,0.005451096920297511,0.4,-0.0012337522038498767
AI_Automation Development,-0.0021441663015511797,0.00586858184552752,0.4,-0.0007912537176787785
Year,-0.002702809731793184,0.0031176934006933925,0.4,-0.004218178116322524
Story_to_Test_Ratio,-0.003133368743393021,0.0030237360754865796,0.2,-0.0022896688313937727
Complexity,-0.0036141923881038316,0.0029920484514051027,0.2,-0.00446984124744539
test case count,-0.004983742988226444,0.0044147988917583375,0.2,-0.004788454546004554
Baseline_Share_Regression Testing,-0.00701395891297379,0.0038766521690824394,0.0,-0.008114902410455427
