Segment_Variable,Segment_Value,N,MAE,Bias,Observed_Mean,Predicted_Mean
Year,2023,26,4.149740469992862,1.8751977675665186,-0.75595631781316,-2.631154085379678
Year,2024,29,6.337970284635383,-2.1748313978101135,0.2817705281840428,2.456601925994156
Year,2025,14,5.472869739369438,0.820120355173307,7.419635761385542,6.599515406212234
Year,2026,14,7.405211609046893,-1.6589680448390105,10.129449703784275,11.788417748623287
Complexity,High,26,6.034499968298599,-1.1523071043376634,2.305215104557134,3.457522208894798
Complexity,Low,14,3.968136605914829,-0.1839732624920877,3.397000884990411,3.580974147482499
Complexity,Medium,43,6.035735295197628,0.15062265471127448,2.946745871121425,2.7961232164101504
Application_Name,API Integration Platform,13,4.043419950399482,-1.1194628843412533,4.1391015900419985,5.2585644743832525
Application_Name,Billing & Payments,13,3.043231282806695,1.4035552788537349,-0.2231363704251185,-1.6266916492788535
Application_Name,CRM Sales & Service,12,7.348655958920177,1.5743491131269094,5.656122266670898,4.081773153543987
Application_Name,Customer Web Portal,11,5.828047347553519,1.7890411583877748,8.398928133197096,6.609886974809322
Application_Name,ERP Operations,7,5.927043308307107,0.07490545731472942,-1.6946249104522444,-1.7695303677669738
Application_Name,Enterprise Data Platform,9,7.839417255791781,-2.7661428738970715,-0.47823180108193086,2.2879110728151404
Application_Name,Legacy Service Platform,6,5.781481908774521,-0.7838739206131088,-4.698911820963535,-3.9150379003504265
Application_Name,Mobile Service App,12,6.736310089777928,-3.270790689665431,5.616198712918212,8.886989402583643
AI_Phase_Count,0,31,4.700696111465566,0.789341164054612,-3.5513294332564525,-4.340670597311064
AI_Phase_Count,1,11,4.547209726347732,0.0036594714533734096,-0.3262272377484299,-0.3298867092018033
AI_Phase_Count,2,20,5.652437487221194,-0.8511615184078621,6.476146859727348,7.32730837813521
AI_Phase_Count,3,14,8.379591770964621,-3.436163364287609,7.41737336369318,10.85353672798079
AI_Phase_Count,4,3,5.783377539821269,-1.2194579388861184,11.47612586147629,12.695583800362408
AI_Phase_Count,5,4,7.133368937354792,4.554806194519596,20.022211935518733,15.467405740999137
