Feature,Importance_Mean,Importance_SD
AI_Phase_Count,0.4032260315608481,0.09170999355507999
Baseline effort (Test Planning),0.022949817984824206,0.009518333629161017
Baseline_Share_Test Execution,0.020101528910816825,0.015114100109715424
AI_Exposure_Automation Development,0.014406781703885162,0.010772841126185017
AI_Exposure_Test Design,0.012730504233674566,0.006423900367590837
Baseline effort (Defect Management),0.010074156180980065,0.004121050970748878
AI_Exposure_Defect Management,0.009169076485846483,0.00240363370257196
Baseline_Share_Test Design,0.007087447427289994,0.0023060229567189146
Application_Name,0.0058533422902907525,0.005625094906776308
Baseline_Share_Automation Development,0.00438505166992198,0.003260090325139511
Total_Baseline_Effort,0.0030337859972914714,0.0015920866371768015
AI_Defect Management,0.0020929948837298483,0.0013297602544861432
AI_Automation Development,0.0016617254315906215,0.0034767811154961773
Baseline_Share_Test Planning,0.0014106851031471025,0.0039125803915643865
AI_Exposure_Regression Testing,0.0013422590345607776,0.017430782659858143
AI_Exposure_Test Planning,0.0009418643685096262,0.0018988297105547313
Sprint_Number,0.0008490493616208683,0.013976540066082907
Year,0.0007551285026446086,0.001573731937577498
AI_Test Design,0.0005359813535239733,0.000817281785465569
Baseline effort (Test Execution),0.0003207441532341315,0.006987414298000534
AI_Regression Testing,0.00012239040963932802,0.0013745740515528635
User story count,-6.512323935645715e-05,0.002233657322489724
AI_Test Execution,-6.691324824998901e-05,0.00011242963394802499
AI_Exposure_Test Execution,-0.00017621113484964646,4.1072907270750975e-05
AI_Test Planning,-0.00019797123090865566,0.0005197596026267099
Baseline effort (Regression Testing),-0.0007911803632660863,0.007586485909589083
Baseline effort (Test Design),-0.003621204879534079,0.0034028894615695166
Baseline_Share_Defect Management,-0.003755145464678944,0.008170422662044145
Baseline effort (Automation Development),-0.00384992250067695,0.0044459096582099965
Story_to_Test_Ratio,-0.006318341100470049,0.0027935646197469353
Baseline_Share_Regression Testing,-0.008239428982451868,0.003139242563665426
Complexity,-0.012936787873627908,0.004349011905331142
test case count,-0.01566144894110526,0.004560198678017938
