Phase_A,Phase_B,Raw_p_value,Rank_Biserial,Holm_Adjusted_p,Significant_at_0.05
Test Planning,Regression Testing,1.047853547718457e-10,-0.5680580762250453,1.5717803215776854e-09,True
Test Planning,Test Design,2.6991431750383895e-10,-0.5242075931731105,3.778800445053745e-09,True
Test Execution,Regression Testing,3.635782992497904e-08,-0.6603855317305609,4.726517890247275e-07,True
Test Design,Test Execution,1.6431839833160108e-07,0.6086793864571642,1.971820779979213e-06,True
Regression Testing,Defect Management,1.6972910945620053e-07,0.3687371582108425,1.971820779979213e-06,True
Test Planning,Automation Development,8.565730121353465e-07,-0.41621544599601024,8.565730121353465e-06,True
Test Design,Defect Management,1.2526946403081727e-06,0.311735978402645,1.1274251762773554e-05,True
Automation Development,Test Execution,9.206215575056556e-06,0.5206611570247934,7.364972460045245e-05,True
Automation Development,Regression Testing,0.00027067076524031353,-0.2103329950219902,0.0018946953566821947,True
Test Design,Automation Development,0.0029609006763460866,0.14873250410440497,0.01776540405807652,True
Automation Development,Defect Management,0.007028137958615415,0.17869108778199694,0.03514068979307707,True
Test Execution,Defect Management,0.007642932679376487,-0.3319986653319986,0.03514068979307707,True
Test Planning,Defect Management,0.015288015242525337,-0.22771046908977943,0.04586404572757601,True
Test Planning,Test Execution,0.34761639570782044,0.127713920817369,0.5145798629926628,False
Test Design,Regression Testing,0.2572899314963314,-0.06287041959556583,0.5145798629926628,False
