,Coefficient,p_value,t_value,CI_Lower,CI_Upper,Absolute_t
AI_Flag,16.685982597523697,5.366210808760557e-41,13.40885332263685,14.247002607892687,19.124962587154705,13.40885332263685
C(Phase)[T.Test Execution],-6.22341739157843,0.0014289575619324457,-3.188737129296497,-10.048653983264805,-2.3981807998920543,3.188737129296497
C(Phase)[T.Defect Management],-4.673461407108131,0.001696386880999706,-3.1388043189056782,-7.591711514608724,-1.7552112996075384,3.1388043189056782
C(Phase)[T.Test Planning],-6.144185156073026,0.0017139717171930449,-3.1357809486388564,-9.984498563639317,-2.3038717485067353,3.1357809486388564
Test_Cases,0.049874010087047706,0.006217783138586622,2.736069822701717,0.014147120837314696,0.08560089933678072,2.736069822701717
C(Phase)[T.Test Design],3.0770062663002054,0.009140891550623073,2.606739341326837,0.7634563971050898,5.390556135495321,2.606739341326837
C(Application)[T.Customer Web Portal],2.5625375395843544,0.03868080283822477,2.0675665222223643,0.13336235579452138,4.991712723374187,2.0675665222223643
Intercept,-1699.9765182394262,0.053279172392068946,-1.9326512665650142,-3423.977535885508,24.02449940665565,1.9326512665650142
Year,0.8376595764546342,0.053992941674710505,1.926893195586865,-0.014376543095898975,1.6896956960051672,1.926893195586865
Baseline,-0.07497007644122235,0.16794756921295506,-1.3788287208037204,-0.18153780855037072,0.03159765566792601,1.3788287208037204
User_Stories,0.11023626193767469,0.21415715028275473,1.2422152615019695,-0.063694223288314,0.2841667471636634,1.2422152615019695
C(Complexity)[T.Low],-0.9032381383308297,0.32487622293760043,-0.984486791032202,-2.7014483700144027,0.8949720933527434,0.984486791032202
C(Application)[T.Enterprise Data Platform],-1.32398482014752,0.33963787867069095,-0.9548810009489214,-4.041561733907573,1.3935920936125332,0.9548810009489214
C(Application)[T.Mobile Service App],1.1675100933830702,0.3427883307260843,0.9486702867684952,-1.244579508803683,3.5795996955698235,0.9486702867684952
C(Application)[T.CRM Sales & Service],1.0670873798418885,0.35584055757587474,0.9233198285887533,-1.1980571216511549,3.332231881334932,0.9233198285887533
Sprint_Number,0.0600669450316384,0.3742124682491038,0.8886104587218658,-0.07241973433143611,0.1925536243947129,0.8886104587218658
C(Application)[T.ERP Operations],-0.919382150650857,0.5176814269707779,-0.6469235443908001,-3.7048054343273504,1.8660411330256361,0.6469235443908001
C(Complexity)[T.Medium],-0.4348121282727272,0.536279995821081,-0.6184481054331008,-1.8128034325858775,0.9431791760404232,0.6184481054331008
C(Application)[T.Billing & Payments],-0.5873447827293146,0.5953207290538751,-0.5311414983561411,-2.754704373760693,1.5800148083020638,0.5311414983561411
C(Phase)[T.Regression Testing],0.20080326826697492,0.866031813958696,0.16870102315029353,-2.1321237432697706,2.5337302798037205,0.16870102315029353
C(Application)[T.Legacy Service Platform],-0.25580984866030665,0.8790909370943469,-0.15212171542857206,-3.5517106926148454,3.040090995294232,0.15212171542857206
